Overall satisfaction - Half Million,Product range and Price,Coffee Flavor,Quality of food,Value for money,Overall shop experience,Convenient location,Shop Atmosphere,Spacious branches,Ease of finding parking,Overall Staff experience,Reception Exp,Speed of taking order,Staff attentiveness,Knowledgeable staff,Time after order placement,Received right order,Current visit Satisfaction,Used Half Million App,Overall satisfaction with app,Placing an order,Browsing menu,Accuracy to locate branch,Payment thru app,Order fulfillment as per time,Loyalty Points Award,App CES,Overall Satisfaction with Drive Thru,Waiting time before placing the order DT,Ease of browsing through the menu before placing the order DT,Speed of taking order by the staff DT
5,5,3,4,4,4,3,4,4,3,4,5,3,3,4,4,5,5,0,,,,,,,,,5,5,5,5
5,5,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,4,5,5,4,5,4,5,5,4,5,4,5,0,,,,,,,,,,,,
4,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,5,5,0,,,,,,,,,,,,
5,5,5,5,5,5,4,5,4,3,5,5,4,5,5,4,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,1,5,4,5,5,4,5,5,5,,,,
5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,0,,,,,,,,,5,5,5,4
5,5,5,4,5,5,5,5,5,3,5,5,5,5,5,5,4,5,0,,,,,,,,,,,,
5,5,4,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,0,,,,,,,,,,,,
4,5,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,1,5,4,5,5,4,5,5,5,,,,
5,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,5,5,0,,,,,,,,,,,,
4,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,4,4,0,,,,,,,,,,,,
5,5,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,0,,,,,,,,,5,5,5,5
4,5,5,4,5,5,4,5,5,4,5,4,5,5,4,5,5,4,0,,,,,,,,,5,5,4,4
5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,0,,,,,,,,,,,,
5,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,0,,,,,,,,,5,5,5,4
5,5,4,5,5,5,4,5,5,4,5,4,5,5,4,5,4,5,1,5,4,5,5,4,5,4,5,,,,
4,5,4,5,5,5,5,4,5,4,5,4,5,5,4,5,5,5,0,,,,,,,,,5,5,5,4
5,5,4,5,4,5,5,4,5,4,4,5,4,4,5,5,4,5,0,,,,,,,,,5,5,5,4
5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,5,0,,,,,,,,,5,4,5,5
4,5,5,4,5,5,4,5,4,4,5,4,5,4,4,5,5,5,1,5,4,5,5,4,5,4,4,,,,
5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,5,5,5,1,5,4,5,5,5,5,5,5,,,,
5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,4,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,0,,,,,,,,,5,4,4,4
5,5,4,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,0,,,,,,,,,5,5,4,5
5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,0,,,,,,,,,5,5,4,5
5,5,5,4,5,5,5,4,5,5,5,4,5,5,4,5,5,5,1,5,4,5,4,5,5,5,5,,,,
4,4,3,4,5,4,3,5,3,1,4,3,4,3,5,5,4,4,0,,,,,,,,,,,,
5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
4,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,0,,,,,,,,,,,,
5,4,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
5,5,5,5,5,3,5,5,3,1,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
4,5,4,5,5,5,4,5,5,5,4,5,4,4,5,5,5,5,0,,,,,,,,,,,,
5,4,3,5,4,5,4,5,5,5,5,4,5,5,5,4,5,5,0,,,,,,,,,5,5,5,5
5,5,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,5,1,5,4,5,5,5,4,5,5,,,,
3,5,5,4,5,5,5,4,5,1,5,4,5,5,5,4,5,5,0,,,,,,,,,2,5,5,5
5,5,4,5,5,5,4,5,5,4,5,4,5,5,5,4,5,5,0,,,,,,,,,5,4,5,5
5,5,4,5,5,4,5,5,4,5,4,5,3,4,4,5,5,5,1,5,4,5,5,5,4,5,4,,,,
5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,5,0,,,,,,,,,4,5,5,5
5,5,4,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,0,,,,,,,,,5,5,5,5
5,4,5,4,4,5,4,5,5,4,5,4,5,5,5,4,5,5,0,,,,,,,,,,,,
4,5,4,5,5,4,5,4,4,5,5,4,5,5,5,4,5,5,0,,,,,,,,,,,,
4,5,4,5,5,5,5,4,4,5,4,5,4,5,5,5,5,5,0,,,,,,,,,,,,
5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,5,5,5,0,,,,,,,,,,,,
5,5,99,5,5,5,4,5,5,99,5,99,5,5,99,5,5,5,1,5,4,99,5,5,99,5,5,,,,
4,5,4,4,5,3,4,5,3,1,5,5,4,5,5,5,5,5,0,,,,,,,,,,,,
